Country,League,Club
England,Premier League,Manchester City
England,Premier League,Nottingham Forest
England,Premier League,Brighton & Hove Albion
England,Premier League,Liverpool
England,Premier League,Arsenal
England,Premier League,Crystal Palace
England,Premier League,Brentford
England,Premier League,Aston Villa
England,Premier League,Leeds United
England,Premier League,Leicester City
England,Premier League,Fulham
England,Premier League,West Ham United
England,Premier League,Tottenham Hotspur
England,Premier League,Manchester United
England,Premier League,Chelsea
England,Premier League,Everton
England,Premier League,AFC Bournemouth
England,Premier League,Newcastle United
England,Premier League,Southampton
England,Championship,Hull City
England,Championship,Stoke City
England,Championship,Wigan Athletic
England,Championship,Luton Town
England,Championship,Sunderland
England,Championship,Cardiff City
England,Championship,Huddersfield Town
England,Championship,West Bromwich Albion
England,Championship,Sheffield United
England,Championship,Preston North End
England,Championship,Blackburn Rovers
England,Championship,Reading
England,Championship,Middlesbrough
England,Championship,Burnley
England,Championship,Coventry City
England,Championship,Bristol City
England,Championship,Blackpool
England,Championship,Norwich City
England,Championship,Rotherham United
England,Championship,Watford
England,Championship,Millwall
England,Championship,Swansea City
England,Championship,Birmingham City
Germany,Bundesliga,VfL Bochum 1848
Germany,Bundesliga,1. FSV Mainz 05
Germany,Bundesliga,1. FC Köln
Germany,Bundesliga,1. FC Union Berlin
Germany,Bundesliga,FC Schalke 04
Germany,Bundesliga,Borussia Dortmund II
Germany,Bundesliga,RB Leipzig
Germany,Bundesliga,SV Werder Bremen
Germany,Bundesliga,Borussia Dortmund
Germany,Bundesliga,SC Freiburg II
Germany,Bundesliga,Hertha BSC
Germany,Bundesliga,Borussia Mönchengladbach
Germany,Bundesliga,Bayer 04 Leverkusen
Germany,Bundesliga,VfL Wolfsburg
Germany,Bundesliga,Eintracht Frankfurt
Germany,Bundesliga,VfB Stuttgart
Germany,Bundesliga,Hamburger SV
Germany,Bundesliga,FC Augsburg
Germany,2. Bundesliga,SV Sandhausen
Germany,2. Bundesliga,DSC Arminia Bielefeld
Germany,2. Bundesliga,1. FC Nürnberg
Germany,2. Bundesliga,F.C. Hansa Rostock
Germany,2. Bundesliga,SSV Jahn Regensburg
Germany,2. Bundesliga,1. FC Heidenheim 1846
Germany,2. Bundesliga,1. FC Kaiserslautern
Germany,2. Bundesliga,Karlsruher SC
Germany,2. Bundesliga,FC St. Pauli
Germany,2. Bundesliga,SV Wehen Wiesbaden
Germany,2. Bundesliga,SC Paderborn 07
Germany,2. Bundesliga,Holstein Kiel
Germany,2. Bundesliga,SpVgg Greuther Fürth
Germany,2. Bundesliga,Eintracht Braunschweig
Germany,2. Bundesliga,SV Darmstadt 98
